,restaurant_name,googleMap_review_point,googleMap_review_count,address
160,성수일구,4.3,30,성동구 성덕정17길 3-1
161,우동가조쿠,4.5,147,마포구 양화로19길 18 1층
162,이응이응이응이응,4.6,64,서울 마포구 독막로 63-1
163,정담은보쌈 북촌점,4.4,242,종로구 계동길 33-9
164,샐러드셀러,4.4,162,용산구 이태원로20길 36
165,영수분식,4.3,84,성동구 성덕정15길 4-8
166,다락투,4.4,428,마포구 와우산로21길 4-3
167,밥장인 돼지찌개 홍대점,4.9,151,마포구 양화로18안길 16
168,저스트텐동 연남본점,4.5,482,마포구 동교로46길 3
169,마시타야,4.3,281,마포구 와우산로29라길 26 지하 1층
170,보니스피자펍,4.3,1718,용산구 신흥로3길 2
171,오후,4.7,374,성동구 서울숲2길 44-7
172,연남동 코리아식당,4.3,178,마포구 연희로 35
173,윤씨밀방,4.6,78,마포구 서교동 411-6
174,리타르단도(Ritardando),4.9,78,성동구 뚝섬로 393 지하 1층
175,버섯집,4.3,451,성동구 왕십리로5길 9-10
176,성수 맛집 스케줄성수 / schedule seongsu – a must-visit restaurant in seongsu/ 聖水グルメ スケジュール聖水 / 圣水美食店 schedule圣水,4.8,789,성동구 아차산로 104 2층
177,미도인 홍대,4.5,166,마포구 잔다리로2길 19
178,졸리연남,4.5,19,마포구 연희로1길 52
