restaurant_code,address,restaurant_name,restaurant_class,menu_tag,blue_ribbon_count,red_ribbon_count,restaurant_review_count,restaurant_review_point,naver_blog_count,restaurant_size
206,"서울특별시 마포구 성미산로 161-7 (연남동)",하이촨촨,,사천식중식,0,0,0,0,0,0
207,"서울특별시 마포구 동교로 260 (연남동)",회뜨는총각,,생선회,0,0,0,0,0,0
208,"서울특별시 마포구 동교로 234 (동교동)",잔등재차돌집,,돼지고기구이,0,0,0,0,0,0
209,"서울특별시 마포구 동교로38길 6-5 (연남동)",스필아웃,,"미국식피자,펍",0,0,0,0,0,0
210,"서울특별시 마포구 월드컵북로6길 84 (동교동) 1층",소바하우스멘야준,,라멘,0,0,0,0,0,0
211,"서울특별시 마포구 동교로 212-16 (동교동) 1층",샌드커피논탄토,,"커피전문점,카이막",0,0,0,0,0,0
212,"서울특별시 마포구 양화로23길 24 (동교동) 2층",이자카야연정,,이자카야,0,0,0,0,0,0
213,"서울특별시 마포구 와우산로29마길 6 (서교동)",쭌곱창,,돼지곱창,0,0,0,0,0,0
214,"서울특별시 마포구 양화로18안길 22 (동교동)",봉림대패,,삼겹살,0,0,0,0,0,0
215,"서울특별시 마포구 성미산로 95 (성산동)",카츠토랑,,"일식돈가스,퓨전일식",0,0,0,0,0,0
216,"서울특별시 마포구 양화로 188 (동교동) AK&건물 5층",고에몬,,퓨전일식,0,0,0,0,0,0
217,"서울특별시 마포구 동교로27길 39 (연남동)",풍천장어,,장어,0,0,0,0,0,0
218,"서울특별시 마포구 동교로38길 27-9 (연남동) 1층",플롭,,미국식피자,0,0,0,0,0,0
219,"서울특별시 마포구 연희로 29-1 (동교동)",센트럴사이트,,커피전문점,0,0,0,0,0,0
220,"서울특별시 마포구 동교로51길 51 (연남동)",리피칩,,구움과자,0,0,0,0,0,0
221,"서울특별시 마포구 월드컵북로6길 19 (연남동) 1층",장작집,,통닭,0,0,0,0,0,0
222,"서울특별시 마포구 동교로 262-13 (연남동)",피스케스,,"와인바,해물",0,0,0,0,0,0
223,"서울특별시 마포구 성미산로23안길 20-6 (연남동) 1층",푸치케,,카페,0,0,0,0,0,0
224,"서울특별시 마포구 성미산로 190-25 (연남동) 1층",그날연남,,이자카야,0,0,0,0,0,0
225,"서울특별시 마포구 동교로 242-6 (연남동)",모모,,이자카야,0,0,0,0,0,0
226,"서울특별시 마포구 성미산로29안길 19-4 (연남동) 1층",딥스파티세리,,카페,0,0,0,0,0,0
227,"서울특별시 마포구 동교로41길 3 (연남동) 1층",파네트,,베이커리,0,0,0,0,0,0
228,"서울특별시 마포구 동교로46길 13 (연남동) 지하 1층",연주방어페어,,와인바,0,0,0,0,0,0
229,"서울특별시 마포구 동교로38길 20 (연남동) 지1층 102호",화월카게츠,,"모츠나베,이자카야",0,0,0,0,0,0
230,"서울특별시 마포구 동교로27길 60 (연남동) 1층",바다회사랑,,"생선회,방어",0,0,0,0,0,0
231,"서울특별시 마포구 월드컵북로4길 23-5 (동교동)",루프탑지니,,와인바,0,0,0,0,0,0
232,"서울특별시 마포구 연남로3길 23 (연남동) 1층",모츠모츠,,"일식,모츠나베",0,0,0,0,0,0
