,address,restaurant_name,restaurant_class,menu_tag,blue_ribbon_count,red_ribbon_count,catchTable_review_count,catchTable_review_point,googleMap_review_count,googleMap_review_point,review_count_sum,ratings_mean
110,서울특별시 용산구 이태원로26길 13 (이태원동) 2층,주관,기타,한식주점,0,0,6,4.9,0,0.0,6,4.9
111,서울특별시 용산구 녹사평대로 218 (이태원동) 해피빌딩 4층,사우스사이드팔러,경양식,멕시코식,0,0,34,4.5,0,0.0,34,4.5
112,서울특별시 용산구 이태원로20길 13 (이태원동),레드브릭비스트로,호프/통닭,이탈리아식,0,0,74,4.7,0,0.0,74,4.7
113,서울특별시 용산구 녹사평대로40길 46 (이태원동) 2층 201호,지노스뉴욕피자,기타,피자,0,0,23,4.6,0,0.0,23,4.6
114,서울특별시 용산구 신흥로 28 (용산동2가),노이이탈리안하우스,경양식,이탈리아식,0,0,1617,4.8,0,0.0,1617,4.8
115,서울특별시 용산구 보광로 118 (이태원동) 1층,보광정,기타,돼지고기구이,0,0,53,4.8,0,0.0,53,4.8
116,서울특별시 용산구 보광로 127 (이태원동) 유영빌딩 3층,교촌필방,한식,치킨오마카세,0,0,140,4.7,0,0.0,140,4.7
117,서울특별시 용산구 이태원로 138 (이태원동),산해장,한식,돼지고기찌개,0,0,0,0.0,20,4.8,20,4.8
118,서울특별시 용산구 이태원로45길 8 (한남동) 4층,베베르카,"외국음식전문점(인도,태국등)",브런치카페,0,0,385,4.5,0,0.0,385,4.5
119,서울특별시 용산구 녹사평대로40길 46 (이태원동) 1층,핌피,기타,양식,0,0,0,0.0,34,4.9,34,4.9
120,서울특별시 용산구 회나무로6길 21 (이태원동) 1층,잭잭,,"미국식,햄버거",0,0,4,4.0,155,4.9,159,4.45
121,서울특별시 용산구 이태원로14길 42 (이태원동) 1층,플로우이태원,기타,브런치카페,0,0,4,5.0,0,0.0,4,5.0
122,서울특별시 용산구 녹사평대로26가길 9 (이태원동) 2층,도나르,기타,"샌드위치,베이커리",0,0,177,4.8,0,0.0,177,4.8
123,서울특별시 용산구 이태원로54길 62-4 (한남동) 1층,써스티써스데이,일식,위스키바,0,0,97,4.9,0,0.0,97,4.9
124,서울특별시 용산구 보광로 72 (보광동) 이태원 불꽃,이태원불꽃,한식,"중식주점,일반중식",0,0,14,4.8,0,0.0,14,4.8
125,서울특별시 용산구 녹사평대로54길 6 (이태원동),폴스다이너,일식,와인바,0,0,14,5.0,0,0.0,14,5.0
126,서울특별시 용산구 이태원로54길 31 (한남동) 3층,보르고한남,"외국음식전문점(인도,태국등)",이탈리아식,0,0,68,4.6,0,0.0,68,4.6
127,서울특별시 용산구 대사관로 46-1 (한남동) 102호,캄포,"외국음식전문점(인도,태국등)","이탈리아식,와인바",0,0,228,4.9,0,0.0,228,4.9
